"id","code_type","code","description"
5486,"fund_center_code","ZDFS000001","Portland Development Commission"
5487,"fund_center_code","PKSB000008","Heron Lakes Golf Course"
5488,"fund_center_code","PLOP000007","APP Clean & Safe"
5489,"fund_center_code","PKCN000011","UF Science and Outreach"
5490,"fund_center_code","ESWS000014","Stormwater System Plan"
5491,"fund_center_code","MFHR000001","Operations"
5492,"fund_center_code","PKPR000041","Parks & Rec Services Admin"
5493,"fund_center_code","TRMN000003","Stores & Purchasing"
5494,"fund_center_code","ESEN000014","Program Mgmt & Controls Administration"
5495,"fund_center_code","ESWW000008","Columbia Blvd WWTP - Administration"
5496,"fund_center_code","ESDR000006","Office of Healthy Working Rivers"
5497,"fund_center_code","PLOP000008","St James Contact"
5498,"fund_center_code","MFOP000027","*INAC* Naito & Davis Comm"
5499,"fund_center_code","FREO000003","BOEC Liaison"
5500,"fund_center_code","MFOP000022","*INAC* 3rd & Alder Park"
5501,"fund_center_code","ESWW000020","Work & Asset Mgmt System Administration"
5502,"fund_center_code","MFTS000074","RegJIN Application"
5503,"fund_center_code","MFOP000074","Portland 5 property Antoinette Hatfield"
5504,"fund_center_code","ESBS000009","Debt Activity"
5505,"fund_center_code","MFTS000007","Project Management Office T&M Billable"
5506,"fund_center_code","FRTS000006","Firefighter Trainee Program"
5507,"fund_center_code","MFFM000005","Debt Activity"
5508,"fund_center_code","MFOP000062","Debt Activity - Facilities"
5509,"fund_center_code","ESBS000001","Business Services Financial Management"
5510,"fund_center_code","DSIS000004","Facilities Permits - Plumbing"
5511,"fund_center_code","MFOP000065","Loss Prevention-WC"
5512,"fund_center_code","FREO000001","Portland EOPS Administration"
5513,"fund_center_code","ESPP000018","Underground Injection Control"
5514,"fund_center_code","ESEN000018","Clean River Rewards Technical Assistance"
5515,"fund_center_code","DRDR000005","Debt Activity"
5516,"fund_center_code","MFOP000047","1900 Building"
5517,"fund_center_code","ESEN000026","Brooklyn Creek Design Team"
5518,"fund_center_code","WACS000006","Customer Service-Quality Assurance"
5519,"fund_center_code","PKPR000014","Sellwood Community Center"
5520,"fund_center_code","WAOP000004","Operations-Service Water Quality"
5521,"fund_center_code","ESPP000007","Investigations & Monitoring"
5522,"fund_center_code","PLSB000010","Uninsured Motorist"
5523,"fund_center_code","AUCA000002","Independent Police Review"
5524,"fund_center_code","PLOP000014","Mounted Patrol"
5525,"fund_center_code","PLOP000032","Red Light Camera"
5526,"fund_center_code","WAOP000018","Operations-Instrumentation Tech"
5527,"fund_center_code","NINR000010","Business District Support"
5528,"fund_center_code","HCMG000002","Business Operations Team"
5529,"fund_center_code","MFOP000072","Portland 5 property Keller Auditorium"
5530,"fund_center_code","NINR000004","NPNS Cleanups"
5531,"fund_center_code","PNOP000001","Administration"
5532,"fund_center_code","MFTS000066","Planning and Development"
5533,"fund_center_code","ESWS000013","Stormwater Management Manual"
5534,"fund_center_code","PKCN000001","CN West Natural Areas"
5535,"fund_center_code","PKWC000018","Adaptive and Inclusive Recreation"
5536,"fund_center_code","PKWC000014","Sitton Community School"
5537,"fund_center_code","PLSB000013","Pension/Disability"
5538,"fund_center_code","TRTS000002","Traffic Operations"
5539,"fund_center_code","WAOP000017","Operations-Electricians/Instr Tech"
5540,"fund_center_code","ESEN000003","Development Review"
5541,"fund_center_code","MYMY000001","Administrative and Executive Management"
5542,"fund_center_code","MFOP000055","Vehicle Storage Lot"
5543,"fund_center_code","MFTS000028","Information Security"
5544,"fund_center_code","PNDP000001","District Planning Division - General"
5545,"fund_center_code","WAEN000022","Engineering-Transmission/Mains Program"
5546,"fund_center_code","DSPR000002","Plan Review - Fire Life Safety"
5547,"fund_center_code","WAEN000026","Engineering-Construction Management"
5548,"fund_center_code","FRPR000001","Prevention Administration"
5549,"fund_center_code","CBMH000004","Portland Community Media-West Mult."
5550,"fund_center_code","NICP000002","ACCESS Program"
5551,"fund_center_code","TRDR000017","Parking Garage Operations"
5552,"fund_center_code","PLCH000002","Mayor's Liaison"
5553,"fund_center_code","MFSA000009","Small Business-Portland Development Comm"
5554,"fund_center_code","PKDI000004","Portland Parks Trust"
5555,"fund_center_code","MFOP000075","Phase II Lot property"
5556,"fund_center_code","ESWS000016","Biological Sciences"
5557,"fund_center_code","PLIN000039","Family Services"
5558,"fund_center_code","PKPR000035","Laurelhurst Studio"
5559,"fund_center_code","WAOP000013","Operations-Conduits/Watershed"
5560,"fund_center_code","NINR000003","North Portland Neighborhood Services"
5561,"fund_center_code","WAAD000003","Operations- Rangers"
5562,"fund_center_code","WAOP000002","Operations-Water Quality Compliance"
5563,"fund_center_code","MFOP000007","Workers Compensation"
5564,"fund_center_code","SDSD000004","Training Education & Outreach"
5565,"fund_center_code","PKSB000009","RedTail Golf Course"
5566,"fund_center_code","MFOP000001","Finance and Management Services"
5567,"fund_center_code","ESEN000024","Willamette River Tunnel Program"
5568,"fund_center_code","ESEN000027","Stormwater Systems Program"
5569,"fund_center_code","EMEM000001","Administration"
5570,"fund_center_code","PLOP000060","Old North Precinct"
5571,"fund_center_code","ESDR000005","Intergovernental Relations"
5572,"fund_center_code","MFTS000008","BTS Bureau Administration"
5573,"fund_center_code","PKCN000009","Horticultural Services"
5574,"fund_center_code","PLCH000001","Chief's Office"
5575,"fund_center_code","MFFS000001","Accounting - Administration/Operations"
5576,"fund_center_code","MFOP000006","Liability"
5577,"fund_center_code","PLIN000027","Court Services"
5578,"fund_center_code","PKSB000010","Rose City Golf Course"
5579,"fund_center_code","MFTS000036","Application Fixed Fee Maintenance"
5580,"fund_center_code","MFHR000009","Site Team - Comm Svcs / Admin"
5581,"fund_center_code","PKPR000020","Services North Zone Operations"
5582,"fund_center_code","MFTS000069","Utility Billing App"
5583,"fund_center_code","MFTS000024","Utility Billing Infrastructure"
5584,"fund_center_code","FRMS000015","Station 5"
5585,"fund_center_code","FRMS000016","Station 6"
5586,"fund_center_code","PKSB000006","Golf Admin"
5587,"fund_center_code","PLCH000003","Public Information"
5588,"fund_center_code","MFFS000008","Financial Planning and Grants Management"
5589,"fund_center_code","PKAM000001","Asset Management Admin"
5590,"fund_center_code","WAMC000017","Maint & Const - North District"
5591,"fund_center_code","PLIN000029","Tow/Store Charges"
5592,"fund_center_code","MFOP000005","Risk Management Administration"
5593,"fund_center_code","FRMS000029","Station 19"
5594,"fund_center_code","PLIN000005","Rapid Response"
5595,"fund_center_code","PLSB000027","Regional Justice Information Network"
5596,"fund_center_code","NINL000003","Community Residential Siting"
5597,"fund_center_code","TRMN000001","Maintenance Administration & Support"
5598,"fund_center_code","TRED000006","Survey"
5599,"fund_center_code","PLOP000002","Transit Police"
5600,"fund_center_code","FRPR000012","Code Enforcement C"
5601,"fund_center_code","TRTS000003","Signals & Street Lighting"
5602,"fund_center_code","PKWC000002","Alice Ott Community School"
5603,"fund_center_code","PKLM000003","Eastside Lands Manager Administration"
5604,"fund_center_code","MFOP000011","Fuel Management"
5605,"fund_center_code","FRMS000008","Apparatus Maintenance"
5606,"fund_center_code","PLOP000053","Hollywood Contact Office"
5607,"fund_center_code","MFOP000003","Duplicating Services"
5608,"fund_center_code","PLCH000006","Statistical Support"
5609,"fund_center_code","MFTS000038","E-Government Applications"
5610,"fund_center_code","FREO000016","Multnomah Co CPR Classes"
5611,"fund_center_code","ESWS000005","Regulatory Policy"
5612,"fund_center_code","GRLG000001","Government Relations"
5613,"fund_center_code","WAEN000005","Engineering-Technical Services"
5614,"fund_center_code","AUDA000006","LID Construction Program"
5615,"fund_center_code","HCPG000002","Program Delivery for Ptld Housing Bureau"
5616,"fund_center_code","DSSS000002","Zoning"
5617,"fund_center_code","OEOE000001","Office of Equity and Human Rights"
5618,"fund_center_code","PKPR000031","Pier Pool"
5619,"fund_center_code","MFSA000023","Youth Violence Preventn frm Mayors to SA"
5620,"fund_center_code","PLCH000016","Legal Defense"
5621,"fund_center_code","MFOP000035","Rose Garden Parking Garages"
5622,"fund_center_code","PLIN000036","Cares Northwest"
5623,"fund_center_code","MFSA000013","PDC Pass Through GF Allocations"
5624,"fund_center_code","TRMN000024","Inventory Control"
5625,"fund_center_code","ESPP000011","Laboratory"
5626,"fund_center_code","WAFS000003","Finance & Support Svc-Accounting"
5627,"fund_center_code","WAMC000007","Maint & Const-Field Services 3"
5628,"fund_center_code","NINR000012","Community Connect - BIP #8"
5629,"fund_center_code","FRMS000006","Station Operations"
5630,"fund_center_code","MFSA000029","EBS Charge for Special Appropriations"
5631,"fund_center_code","SDSD000002","Technical Services"
5632,"fund_center_code","PLIN000009","FBI Safe Street"
5633,"fund_center_code","MFRB000003","Business Solutions Division"
5634,"fund_center_code","WAOP000001","Operations-Water Group"
5635,"fund_center_code","PLSB000025","Complaint Signer"
5636,"fund_center_code","FRCO000003","Human Resources"
5637,"fund_center_code","PLSB000006","Storekeeper - AF"
5638,"fund_center_code","FRMS000024","Station 14"
5639,"fund_center_code","ESBS000007","Revenue Programs Administration"
5640,"fund_center_code","MFOP000015","Lease/Rental Vehicle"
5641,"fund_center_code","FREO000015","Portland Vac Severance"
5642,"fund_center_code","MFSA000006","Mayor's Secret Service Funds"
5643,"fund_center_code","MFTS000064","Inventory Control"
5644,"fund_center_code","FRMS000021","Station 11"
5645,"fund_center_code","MFTS000073","CAD Next Application"
5646,"fund_center_code","PKWC000022","Park Safety - Risk Management"
5647,"fund_center_code","PLOP000038","North/Neighborhood Response Team"
5648,"fund_center_code","WAMC000016","Maint & Const - Southwest District"
5649,"fund_center_code","MFOP000061","Union Station"
5650,"fund_center_code","WAFS000007","Non-Operating Revenue"
5651,"fund_center_code","MFFS000003","Accounting - Technical"
5652,"fund_center_code","WAEN000016","Engineering-Survey & ROW Services"
5653,"fund_center_code","WAMC000009","Maint & Const-Inventory"
5654,"fund_center_code","PKPR000033","Wilson Pool"
5655,"fund_center_code","MFTS000053","I-Net"
5656,"fund_center_code","MFFS000005","Debt Management"
5657,"fund_center_code","ESPP000010","Field Operations"
5658,"fund_center_code","TRMN000014","Loss Control/Training"
5659,"fund_center_code","PKWC000020","Multnomah Arts Center"
5660,"fund_center_code","MFHR000003","Classification Compensation"
5661,"fund_center_code","FRPR000017","Prevention Long-Term Leave"
5662,"fund_center_code","WAHP000001","Hydroelectric Power"
5663,"fund_center_code","TRMN000011","Sidewalk Maintenance"
5664,"fund_center_code","PLCH000010","Professional Development"
5665,"fund_center_code","MFOP000028","*INAC* Station Place"
5666,"fund_center_code","PLIN000001","Home Security"
5667,"fund_center_code","MFTS000017","Desktop & Laptop Support"
5668,"fund_center_code","PKDI000006","Community Relations Admin"
5669,"fund_center_code","MFFS000002","Accounting - Payroll"
5670,"fund_center_code","WAMC000012","Maint & Const-Stores"
5671,"fund_center_code","WAOP000014","Operations-Oper Engineers/Painters"
5672,"fund_center_code","ESEN000023","Watershed Revegetation Program"
5673,"fund_center_code","PNPC000002","Measure 37 Program"
5674,"fund_center_code","PLSB000022","Crisis Intervention"
5675,"fund_center_code","PLOP000005","Central/Special Pol"
5676,"fund_center_code","WACS000002","Customer Service-Service Center"
5677,"fund_center_code","MFDR000001","Chief Administrative Officer"
5678,"fund_center_code","FREO000010","Marine Program"
5679,"fund_center_code","PLIN000011","Detective Division"
5680,"fund_center_code","FREO000017","Sister Cities Association"
5681,"fund_center_code","ESWW000013","Pump Station - Electrical & Instr"
5682,"fund_center_code","MFTS000063","Debt Activity"
5683,"fund_center_code","DSIS000005","Electrical"
5684,"fund_center_code","ESPP000005","Industrial Projects"
5685,"fund_center_code","ESEN000020","CIP Projects"
5686,"fund_center_code","TRTS000006","Transportation Options"
5687,"fund_center_code","WAEN000020","Engineering-Water Supply & Conduits Prog"
5688,"fund_center_code","PLOP000006","Central/Special Pol"
5689,"fund_center_code","MFTS000049","IRNE Operating"
5690,"fund_center_code","PKCN000005","Outdoor Recreation"
5691,"fund_center_code","MFTS000022","TRACS Infrastructure"
5692,"fund_center_code","ESWW000022","Facilities Management"
5693,"fund_center_code","PLOP000044","SE/Detectives"
5694,"fund_center_code","ESEN000019","Asset Systems Mgmt Planning"
5695,"fund_center_code","PLOP000023","Canine Unit"
5696,"fund_center_code","PKWC000010","Lane Community School"
5697,"fund_center_code","HCMG000003","Policy Planning & Communications"
5698,"fund_center_code","FRTS000007","Training Long-Term Leave"
5699,"fund_center_code","MFOP000034","Rose Garden Plaza"
5700,"fund_center_code","MFSA000002","City Memberships & Dues"
5701,"fund_center_code","PLOP000004","Central/Return to Work"
5702,"fund_center_code","WAEN000010","Engineering-Asset Management"
5703,"fund_center_code","HCPG000004","Housing Investment & Portfolio Preservat"
5704,"fund_center_code","CBMH000002","East County Franchises"
5705,"fund_center_code","NINL000002","Graffiti Abatement"
5706,"fund_center_code","PLIN000014","DA Investigations"
5707,"fund_center_code","PKPR000007","Svcs SW Ops"
5708,"fund_center_code","WACS000007","Customer Service-Billing"
5709,"fund_center_code","MYMY000003","Office of Youth Violence Prevention"
5710,"fund_center_code","PLIN000017","DVD/Drug-AF"
5711,"fund_center_code","FRCO000007","Light Duty - Long-Term Sick Leave"
5712,"fund_center_code","MFOP000054","Equestrian Division"
5713,"fund_center_code","FREO000012","Suppression Call Shifts"
5714,"fund_center_code","EMEM000002","Finance and Grants"
5715,"fund_center_code","ESWW000018","Support Services"
5716,"fund_center_code","MFTS000001","CTO Office"
5717,"fund_center_code","MFOP000071","OMF Internal Business Services-Dir Offic"
5718,"fund_center_code","WAOP000005","Operations-Bull Run Treatment"
5719,"fund_center_code","MFHR000013","PPA Self Insured Plans"
5720,"fund_center_code","PLOP000056","North Crime Analysis"
5721,"fund_center_code","SDSD000001","Director's Office"
5722,"fund_center_code","MFTS000061","Police IT Field Support"
5723,"fund_center_code","PLOP000027","NE/Metro Office"
5724,"fund_center_code","WAEN000028","Engineering-Program Management"
5725,"fund_center_code","MFSA000017","PDC Targeted Industry Jobs"
5726,"fund_center_code","MFOP000026","*INAC* Naito & Davis Park"
5727,"fund_center_code","AUCA000001","Audit Services"
5728,"fund_center_code","NICP000001","Crime Prevention"
5729,"fund_center_code","PKPR000013","Mt. Scott Community Center"
5730,"fund_center_code","ESWW000024","BES Inventory"
5731,"fund_center_code","ESBS000005","Mapping Data & Application Services"
5732,"fund_center_code","MFSA000026","CashOregon Free Tax Help"
5733,"fund_center_code","WAMC000011","Maint & Const - Field Support"
5734,"fund_center_code","FRPR000010","Code Enforcement A"
5735,"fund_center_code","PNDO000002","River Renaissance"
5736,"fund_center_code","PLOP000020","SE/Sellwood Office"
5737,"fund_center_code","TRMN000012","Structural Maintenance"
5738,"fund_center_code","PKDI000007","Parks Equity and Inclusion Program"
5739,"fund_center_code","AUDA000007","Assessment Collection Fund"
5740,"fund_center_code","TRDR000006","Debt Activity"
5741,"fund_center_code","MFTS000030","Business Solutions T&M Billable"
5742,"fund_center_code","PLOP000001","Reserve Program"
5743,"fund_center_code","TRED000011","Electrical Maintenance"
5744,"fund_center_code","ESEN000002","Systems Development Administration"
5745,"fund_center_code","PLOP000042","Crisis Response Team"
5746,"fund_center_code","FRMS000002","MSD Administration"
5747,"fund_center_code","WAMC000022","Maint & Const - Northeast District"
5748,"fund_center_code","FREO000008","Trauma Intervention Program"
