fund_center_code,fund_code,functional_area_code,object_code,fund_center_name,fund_name,functional_area_name,accounting_object_name,service_area_code,program_code,sub_program_code,fund_center,division_code,bureau_code,bureau_name,fiscal_year,amount
MFOP000036,ENTERPRISE,LAASSF,FNDXFER,Spec Fac Admin,Enterprise,Spectator Facilities,Fund Transfers - Expense,LA,LAAS,LAASSF,MFOP000036,MFOP,MF,Office of Management & Finance,2014-15,219924
DSPR000005,SPEC_REV,CDPR00,PERSONAL,Process Management,Special Revenue,Plan Review,Personnel Services,CD,CDPR,CDPR00,DSPR000005,DSPR,DS,Bureau of Development Services,2011-12,219931
TRMN000001,SPEC_REV,TPMAIN,PERSONAL,Maintenance Administration & Support,Special Revenue,Indirect Services,Personnel Services,TP,TPMA,TPMAIN,TRMN000001,TRMN,TR,Portland Bureau of Transportation,2012-13,219996
WAMC000016,ENTERPRISE,PUDIFS,PERSONAL,Maint & Const - Southwest District,Enterprise,Field Support,Personnel Services,PU,PUDI,PUDIFS,WAMC000016,WAMC,WA,Portland Water Bureau,2013-14,220112
ESWW000021,ENTERPRISE,PUASBS,CAPITAL,Inventory & Purchasing,Enterprise,Bureau Support,Capital Outlay,PU,PUAS,PUASBS,ESWW000021,ESWW,ES,Bureau of Environmental Services,2015-16,220150
WARP000002,ENTERPRISE,PUASBS,PERSONAL,Intergovernmental Coordination,Enterprise,Bureau Support,Personnel Services,PU,PUAS,PUASBS,WARP000002,WARP,WA,Portland Water Bureau,2009-10,220159
MFSA000023,GENERAL,CDSA00,PERSONAL,Youth Violence Preventn frm Mayors to SA,General Fund,Special Appropriations - Community Development,Personnel Services,CD,CDSA,CDSA00,MFSA000023,MFSA,MF,Office of Management & Finance,2015-16,220184
ESPP000006,ENTERPRISE,PUPPEM,PERSONAL,Environmental Investigations Admin,Enterprise,Env. Monitoring & Investigation,Personnel Services,PU,PUPP,PUPPEM,ESPP000006,ESPP,ES,Bureau of Environmental Services,2008-09,220211
MFOP000003,INT_SVC,LACPCS,PERSONAL,Duplicating Services,Internal Service,Customer Service,Personnel Services,LA,LACP,LACPCS,MFOP000003,MFOP,MF,Office of Management & Finance,2008-09,220238
MFOP000068,INT_SVC,LAPT00,FNDXFER,P&D Fund Level Rev & Exp,Internal Service,Printing & Distribution,Fund Transfers - Expense,LA,LAPT,LAPT00,MFOP000068,MFOP,MF,Office of Management & Finance,2013-14,220255
AUCA000005,GENERAL,LAHO00,IMS,Hearings Office,General Fund,Hearings Office,Internal Materials and Services,LA,LAHO,LAHO00,AUCA000005,AUCA,AU,Office of the City Auditor,2008-09,220310
MFOP000003,INT_SVC,LACPCS,PERSONAL,Duplicating Services,Internal Service,Customer Service,Personnel Services,LA,LACP,LACPCS,MFOP000003,MFOP,MF,Office of Management & Finance,2010-11,220328
TRED000009,SPEC_REV,TPCIEC,CAPITAL,Project Management,Special Revenue,Economic Vitality,Capital Outlay,TP,TPCI,TPCIEC,TRED000009,TRED,TR,Portland Bureau of Transportation,2012-13,220384
PKPR000013,GENERAL,PRRESG,PERSONAL,Mt. Scott Community Center,General Fund,Sports and Games,Personnel Services,PR,PRRE,PRRESG,PKPR000013,PKPR,PK,Portland Parks & Recreation,2013-14,220396
PNSD000002,ENTERPRISE,CDTSGB,PERSONAL,"Policy, Research and Innovation",Enterprise,Green Building & Development,Personnel Services,CD,CDTS,CDTSGB,PNSD000002,PNSD,PN,Bureau of Planning & Sustainability,2012-13,220400
PLOP000055,GENERAL,PSERER,EMS,East Precinct,General Fund,Emergency Response & Problem Solving,External Materials and Services,PS,PSER,PSERER,PLOP000055,PLOP,PL,Portland Police Bureau,2010-11,220513
TRMN000019,SPEC_REV,TPMAES,CAPITAL,Sewer Repair,Special Revenue,Environmental System Maintenance,Capital Outlay,TP,TPMA,TPMAES,TRMN000019,TRMN,TR,Portland Bureau of Transportation,2009-10,220682
PLOP000023,GENERAL,PSERER,IMS,Canine Unit,General Fund,Emergency Response & Problem Solving,Internal Materials and Services,PS,PSER,PSERER,PLOP000023,PLOP,PL,Portland Police Bureau,2015-16,220772
WAEN000011,SPEC_REV,PUTTCT,CAPITAL,Engineering-Contract Administration,Special Revenue,Conduits/Transmission,Capital Outlay,PU,PUTT,PUTTCT,WAEN000011,WAEN,WA,Portland Water Bureau,2008-09,220911
SDSD000002,ENTERPRISE,CDASOP,PERSONAL,Technical Services,Enterprise,Operations,Personnel Services,CD,CDAS,CDASOP,SDSD000002,SDSD,SD,Office of Sustainable Development,2006-07,221032
FREO000011,GENERAL,PSEO00,EMS,Portland Emergency Medical Svcs,General Fund,Emergency Operations,External Materials and Services,PS,PSEO,PSEO00,FREO000011,FREO,FR,Portland Fire & Rescue,2011-12,221143
GRLG000001,GENERAL,LAGR00,EMS,Government Relations,General Fund,Government Relations,External Materials and Services,LA,LAGR,LAGR00,GRLG000001,GRLG,GR,Office of Government Relations,2013-14,221155
PKPR000011,GENERAL,PRRECS,EMS,Summer Free for All,General Fund,Community and Socialization,External Materials and Services,PR,PRRE,PRRECS,PKPR000011,PKPR,PK,Portland Parks & Recreation,2011-12,221177
MFOP000052,INT_SVC,LAOMOM,IMS,Police Traffic Division,Internal Service,Operations and Maintenance,Internal Materials and Services,LA,LAOM,LAOMOM,MFOP000052,MFOP,MF,Office of Management & Finance,2008-09,221180
MFHR000010,INT_SVC,LABN00,IMS,Self Insured Plan Internal Admin,Internal Service,Benefits,Internal Materials and Services,LA,LABN,LABN00,MFHR000010,MFHR,MF,Office of Management & Finance,2011-12,236792
PKDI000002,GENERAL,PRSPBS,EMS,Finance,General Fund,Business Services,External Materials and Services,PR,PRSP,PRSPBS,PKDI000002,PKDI,PK,Portland Parks & Recreation,2011-12,236797
WAEN000021,ENTERPRISE,PUDIDM,PERSONAL,Engineering - Maintenance Engineering,Enterprise,Distribution Mains,Personnel Services,PU,PUDI,PUDIDM,WAEN000021,WAEN,WA,Portland Water Bureau,2011-12,236801
WAOP000014,ENTERPRISE,PUTMTM,EMS,Operations-Oper Engineers/Painters,Enterprise,Water Program Treatment,External Materials and Services,PU,PUTM,PUTMTM,WAOP000014,WAOP,WA,Portland Water Bureau,2015-16,236845
ESWW000021,ENTERPRISE,PUASBS,PERSONAL,Inventory & Purchasing,Enterprise,Bureau Support,Personnel Services,PU,PUAS,PUASBS,ESWW000021,ESWW,ES,Bureau of Environmental Services,2006-07,236923
ESWW000007,ENTERPRISE,PUWWTR,PERSONAL,Biosolids Reuse,Enterprise,Treatment,Personnel Services,PU,PUWW,PUWWTR,ESWW000007,ESWW,ES,Bureau of Environmental Services,2014-15,236946
WAMC000005,ENTERPRISE,PUASEI,PERSONAL,Maint & Const-Field Services 1,Enterprise,Employee Investment,Personnel Services,PU,PUAS,PUASEI,WAMC000005,WAMC,WA,Portland Water Bureau,2015-16,236956
PKPR000004,GENERAL,PRRECS,PERSONAL,Hillside Community Center,General Fund,Community and Socialization,Personnel Services,PR,PRRE,PRRECS,PKPR000004,PKPR,PK,Portland Parks & Recreation,2013-14,236994
WACS000011,ENTERPRISE,PUDIME,EMS,Customer Service-Small/Large Meters,Enterprise,Meters,External Materials and Services,PU,PUDI,PUDIME,WACS000011,WACS,WA,Portland Water Bureau,2011-12,237059
PKPR000038,GENERAL,PRINMN,EMS,Heavy Equipment Services,General Fund,Maintenance,External Materials and Services,PR,PRIN,PRINMN,PKPR000038,PKPR,PK,Portland Parks & Recreation,2007-08,237069
ECOP000001,SPEC_REV,PSOP00,EMS,Operations,Special Revenue,9-1-1 Operations,External Materials and Services,PS,PSOP,PSOP00,ECOP000001,ECOP,EC,Bureau of Emergency Communications,2008-09,237088
PLOP000055,GENERAL,PSNSNS,EMS,East Precinct,General Fund,Neighborhood Safety,External Materials and Services,PS,PSNS,PSNSNS,PLOP000055,PLOP,PL,Portland Police Bureau,2009-10,237190
NINR000013,GENERAL,CDNRNO,EMS,Visioning Grants,General Fund,Neighborhood Outreach & Support,External Materials and Services,CD,CDNR,CDNRNO,NINR000013,NINR,NI,Office of Neighborhood Involvement,2006-07,237321
PLIN000030,GENERAL,PSCVCV,PERSONAL,Asset Forfeiture,General Fund,Cycle of Violence Reduction,Personnel Services,PS,PSCV,PSCVCV,PLIN000030,PLIN,PL,Portland Police Bureau,2008-09,237351
PKPR000025,GENERAL,PRINMN,PERSONAL,Aquatics Program Admin,General Fund,Maintenance,Personnel Services,PR,PRIN,PRINMN,PKPR000025,PKPR,PK,Portland Parks & Recreation,2014-15,237422
PLCH000018,GENERAL,PSSFSF,EMS,Investigations Overhead,General Fund,Strategy & Finance,External Materials and Services,PS,PSSF,PSSFSF,PLCH000018,PLCH,PL,Portland Police Bureau,2014-15,237469
HCMG000001,SPEC_REV,CDASDO,PERSONAL,Office of Director,Special Revenue,Director's Office,Personnel Services,CD,CDAS,CDASDO,HCMG000001,HCMG,HC,Portland Housing Bureau,2013-14,237508
MFOP000008,INT_SVC,LALPLB,PERSONAL,Loss Prevention & Commercial Insurance,Internal Service,Loss Prevention - Liability,Personnel Services,LA,LALP,LALPLB,MFOP000008,MFOP,MF,Office of Management & Finance,2010-11,237551
WAEN000011,SPEC_REV,PUDIDM,IMS,Engineering-Contract Administration,Special Revenue,Distribution Mains,Internal Materials and Services,PU,PUDI,PUDIDM,WAEN000011,WAEN,WA,Portland Water Bureau,2012-13,237605
PLSB000019,GENERAL,PSSFSF,PERSONAL,PPA President,General Fund,Strategy & Finance,Personnel Services,PS,PSSF,PSSFSF,PLSB000019,PLSB,PL,Portland Police Bureau,2015-16,237625
ESDR000001,ENTERPRISE,PUASAD,IMS,Bureau Director,Enterprise,Administration,Internal Materials and Services,PU,PUAS,PUASAD,ESDR000001,ESDR,ES,Bureau of Environmental Services,2010-11,237641
WAEN000004,ENTERPRISE,PUASBS,PERSONAL,Engineering-Planning,Enterprise,Bureau Support,Personnel Services,PU,PUAS,PUASBS,WAEN000004,WAEN,WA,Portland Water Bureau,2009-10,237671
WAOP000012,ENTERPRISE,PUSUBR,PERSONAL,Operations-Water Treatment,Enterprise,Bull Run Watershed,Personnel Services,PU,PUSU,PUSUBR,WAOP000012,WAOP,WA,Portland Water Bureau,2015-16,237726
PKDI000007,GENERAL,PRCYCE,PERSONAL,Parks Equity and Inclusion Program,General Fund,Community Engagement,Personnel Services,PR,PRCY,PRCYCE,PKDI000007,PKDI,PK,Portland Parks & Recreation,2015-16,237798
WAFS000003,ENTERPRISE,PUDISV,EMS,Finance & Support Svc-Accounting,Enterprise,Services,External Materials and Services,PU,PUDI,PUDISV,WAFS000003,WAFS,WA,Portland Water Bureau,2008-09,237807
NINR000003,GENERAL,CDNRNO,PERSONAL,North Portland Neighborhood Services,General Fund,Neighborhood Outreach & Support,Personnel Services,CD,CDNR,CDNRNO,NINR000003,NINR,NI,Office of Neighborhood Involvement,2009-10,237887
PACO000001,GENERAL,LACOAS,EMS,Commissioner of Public Affairs,General Fund,Commissioner's Office,External Materials and Services,LA,LACO,LACOAS,PACO000001,PACO,PA,Commissioner of Public Affairs,2011-12,238131
PLIN000031,SPEC_REV,PSCVCV,PERSONAL,GREAT Program,Special Revenue,Cycle of Violence Reduction,Personnel Services,PS,PSCV,PSCVCV,PLIN000031,PLIN,PL,Portland Police Bureau,2008-09,238176
MFTS000061,INT_SVC,LAPIPS,PERSONAL,Police IT Field Support,Internal Service,Police Infrastructure Support,Personnel Services,LA,LAPI,LAPIPS,MFTS000061,MFTS,MF,Office of Management & Finance,2010-11,238267
TRMN000012,SPEC_REV,TPMAIN,PERSONAL,Structural Maintenance,Special Revenue,Indirect Services,Personnel Services,TP,TPMA,TPMAIN,TRMN000012,TRMN,TR,Portland Bureau of Transportation,2013-14,238313
PLIN000044,GENERAL,PSININ,EMS,Vehicle Storage Facility,General Fund,Investigations,External Materials and Services,PS,PSIN,PSININ,PLIN000044,PLIN,PL,Portland Police Bureau,2011-12,238334
TRMN000012,SPEC_REV,TPMASU,IMS,Structural Maintenance,Special Revenue,Structures,Internal Materials and Services,TP,TPMA,TPMASU,TRMN000012,TRMN,TR,Portland Bureau of Transportation,2010-11,238474
PKCN000010,GENERAL,PRSPBS,PERSONAL,Urban Forestry Manager,General Fund,Business Services,Personnel Services,PR,PRSP,PRSPBS,PKCN000010,PKCN,PK,Portland Parks & Recreation,2013-14,238554
MFOP000051,INT_SVC,LAOMOM,IMS,Property Warehouse,Internal Service,Operations and Maintenance,Internal Materials and Services,LA,LAOM,LAOMOM,MFOP000051,MFOP,MF,Office of Management & Finance,2008-09,238602
WACS000005,ENTERPRISE,PUCSCS,EMS,Customer Service-Operations,Enterprise,Customer Services,External Materials and Services,PU,PUCS,PUCSCS,WACS000005,WACS,WA,Portland Water Bureau,2008-09,238636
TRED000007,SPEC_REV,TPCIAM,IMS,Bridges & Structures,Special Revenue,Asset Management,Internal Materials and Services,TP,TPCI,TPCIAM,TRED000007,TRED,TR,Portland Bureau of Transportation,2013-14,238705
PKWC000020,GENERAL,PRREAR,EMS,Multnomah Arts Center,General Fund,Arts,External Materials and Services,PR,PRRE,PRREAR,PKWC000020,PKWC,PK,Portland Parks & Recreation,2011-12,238889
MFOP000060,INT_SVC,LAFAOM,EMS,Emergency Coordination Center,Internal Service,Operations and Maintenance,External Materials and Services,LA,LAFA,LAFAOM,MFOP000060,MFOP,MF,Office of Management & Finance,2015-16,238925
MFOP000036,ENTERPRISE,PRAS00,IMS,Spec Fac Admin,Enterprise,Administration & Support,Internal Materials and Services,PR,PRAS,PRAS00,MFOP000036,MFOP,MF,Office of Management & Finance,2008-09,238942
ESWW000013,ENTERPRISE,PUWWCS,PERSONAL,Pump Station - Electrical & Instr,Enterprise,Collection System,Personnel Services,PU,PUWW,PUWWCS,ESWW000013,ESWW,ES,Bureau of Environmental Services,2006-07,238964
TRMN000005,SPEC_REV,TPMAST,PERSONAL,Traffic Maintenance Signs & Markings,Special Revenue,Street Preservation,Personnel Services,TP,TPMA,TPMAST,TRMN000005,TRMN,TR,Portland Bureau of Transportation,2008-09,238967
WAMC000012,ENTERPRISE,PUDIFS,IMS,Maint & Const-Stores,Enterprise,Field Support,Internal Materials and Services,PU,PUDI,PUDIFS,WAMC000012,WAMC,WA,Portland Water Bureau,2008-09,238992
HCPG000003,GENERAL,CDEOCS,EMS,Economic Opportunity Programs,General Fund,Community Services,External Materials and Services,CD,CDEO,CDEOCS,HCPG000003,HCPG,HC,Portland Housing Bureau,2007-08,239033
TRED000007,SPEC_REV,TPCIAM,PERSONAL,Bridges & Structures,Special Revenue,Asset Management,Personnel Services,TP,TPCI,TPCIAM,TRED000007,TRED,TR,Portland Bureau of Transportation,2014-15,239042
PKSB000013,SPEC_REV,PRINDE,CAPITAL,Capital Infrastructure Projects,Special Revenue,Capital Development,Capital Outlay,PR,PRIN,PRINDE,PKSB000013,PKSB,PK,Portland Parks & Recreation,2009-10,239116
PKWC000021,GENERAL,PRCYVS,EMS,Security Coordinator,General Fund,Visitor Services,External Materials and Services,PR,PRCY,PRCYVS,PKWC000021,PKWC,PK,Portland Parks & Recreation,2011-12,239131
PKSB000003,GENERAL,PRREAR,EMS,Property Management,General Fund,Arts,External Materials and Services,PR,PRRE,PRREAR,PKSB000003,PKSB,PK,Portland Parks & Recreation,2015-16,239137
PKPR000017,GENERAL,PRREAQ,PERSONAL,East Portland Community Center,General Fund,Aquatics,Personnel Services,PR,PRRE,PRREAQ,PKPR000017,PKPR,PK,Portland Parks & Recreation,2010-11,239260
WAMC000012,ENTERPRISE,PUDIFS,EMS,Maint & Const-Stores,Enterprise,Field Support,External Materials and Services,PU,PUDI,PUDIFS,WAMC000012,WAMC,WA,Portland Water Bureau,2013-14,239368
PKPR000010,GENERAL,PRRESG,EMS,Southwest Community Center,General Fund,Sports and Games,External Materials and Services,PR,PRRE,PRRESG,PKPR000010,PKPR,PK,Portland Parks & Recreation,2006-07,239485
PLSB000021,GENERAL,PSNSNS,PERSONAL,Alarms Unit,General Fund,Neighborhood Safety,Personnel Services,PS,PSNS,PSNSNS,PLSB000021,PLSB,PL,Portland Police Bureau,2011-12,239557
TRMN000012,SPEC_REV,TPMASU,EMS,Structural Maintenance,Special Revenue,Structures,External Materials and Services,TP,TPMA,TPMASU,TRMN000012,TRMN,TR,Portland Bureau of Transportation,2008-09,239711
MFHR000010,INT_SVC,LAASFS,FNDXFER,Self Insured Plan Internal Admin,Internal Service,Finance Services,Fund Transfers - Expense,LA,LAAS,LAASFS,MFHR000010,MFHR,MF,Office of Management & Finance,2007-08,239804
TRTS000002,SPEC_REV,TPCINB,PERSONAL,Traffic Operations,Special Revenue,Neighborhood Livability,Personnel Services,TP,TPCI,TPCINB,TRTS000002,TRTS,TR,Portland Bureau of Transportation,2008-09,239844
ESPP000013,ENTERPRISE,PUPPEC,EMS,Coordinated Site Analysis-Direct,Enterprise,Environmental Compliance,External Materials and Services,PU,PUPP,PUPPEC,ESPP000013,ESPP,ES,Bureau of Environmental Services,2010-11,239938
ESDR000001,ENTERPRISE,PUASAD,IMS,Bureau Director,Enterprise,Administration,Internal Materials and Services,PU,PUAS,PUASAD,ESDR000001,ESDR,ES,Bureau of Environmental Services,2009-10,240172
PNOP000003,GENERAL,CDASBS,PERSONAL,Budget & Finance,General Fund,Business Services,Personnel Services,CD,CDAS,CDASBS,PNOP000003,PNOP,PN,Bureau of Planning & Sustainability,2011-12,240246
WACS000006,ENTERPRISE,PUCSCS,PERSONAL,Customer Service-Quality Assurance,Enterprise,Customer Services,Personnel Services,PU,PUCS,PUCSCS,WACS000006,WACS,WA,Portland Water Bureau,2009-10,240359
ESBS000004,ENTERPRISE,PUASFI,EMS,Administrative Services,Enterprise,Finance,External Materials and Services,PU,PUAS,PUASFI,ESBS000004,ESBS,ES,Bureau of Environmental Services,2012-13,240531
PLSB000012,GENERAL,PSHRHR,EMS,Personnel Division,General Fund,Human Resources Development,External Materials and Services,PS,PSHR,PSHRHR,PLSB000012,PLSB,PL,Portland Police Bureau,2008-09,240629
TRMN000014,SPEC_REV,TPASFS,PERSONAL,Loss Control/Training,Special Revenue,Field Support,Personnel Services,TP,TPAS,TPASFS,TRMN000014,TRMN,TR,Portland Bureau of Transportation,2009-10,240793
WAEN000011,ENTERPRISE,PUASPL,IMS,Engineering-Contract Administration,Enterprise,Planning,Internal Materials and Services,PU,PUAS,PUASPL,WAEN000011,WAEN,WA,Portland Water Bureau,2010-11,240799
PNCP000001,GENERAL,CDCPCM,EMS,Planning and Urban Design,General Fund,Portland & Comprehensive Plan,External Materials and Services,CD,CDCP,CDCPCM,PNCP000001,PNCP,PN,Bureau of Planning & Sustainability,2007-08,240803
PKPR000008,GENERAL,PRINMN,PERSONAL,Athletic Field Services,General Fund,Maintenance,Personnel Services,PR,PRIN,PRINMN,PKPR000008,PKPR,PK,Portland Parks & Recreation,2014-15,241150
FRPR000016,GENERAL,PSPR00,PERSONAL,Return to Work,General Fund,Prevention,Personnel Services,PS,PSPR,PSPR00,FRPR000016,FRPR,FR,Portland Fire & Rescue,2007-08,241183
PLIN000005,GENERAL,PSERER,PERSONAL,Rapid Response,General Fund,Emergency Response & Problem Solving,Personnel Services,PS,PSER,PSERER,PLIN000005,PLIN,PL,Portland Police Bureau,2007-08,241189
PKCN000008,GENERAL,PRINMN,IMS,CN East Natural Areas,General Fund,Maintenance,Internal Materials and Services,PR,PRIN,PRINMN,PKCN000008,PKCN,PK,Portland Parks & Recreation,2012-13,241215
TRED000010,SPEC_REV,TPMAMM,EMS,Engineering Bureau Admin,Special Revenue,Mall Maintenance,External Materials and Services,TP,TPMA,TPMAMM,TRED000010,TRED,TR,Portland Bureau of Transportation,2012-13,241216
MFTS000010,INT_SVC,LASC00,EMS,Support Center T&M Billable,Internal Service,Support Center,External Materials and Services,LA,LASC,LASC00,MFTS000010,MFTS,MF,Office of Management & Finance,2011-12,241224
FRMS000009,GENERAL,PSASMS,EMS,Support for Suppression,General Fund,Management Services,External Materials and Services,PS,PSAS,PSASMS,FRMS000009,FRMS,FR,Portland Fire & Rescue,2010-11,241301
WAMC000014,ENTERPRISE,PUDIFS,PERSONAL,Maint & Const - Outer Southeast District,Enterprise,Field Support,Personnel Services,PU,PUDI,PUDIFS,WAMC000014,WAMC,WA,Portland Water Bureau,2013-14,241358
ESPP000006,ENTERPRISE,PUPPEM,PERSONAL,Environmental Investigations Admin,Enterprise,Env. Monitoring & Investigation,Personnel Services,PU,PUPP,PUPPEM,ESPP000006,ESPP,ES,Bureau of Environmental Services,2012-13,241379
PLCH000007,GENERAL,PSCOCO,PERSONAL,Communication Support,General Fund,Communications,Personnel Services,PS,PSCO,PSCOCO,PLCH000007,PLCH,PL,Portland Police Bureau,2013-14,241750
PKPR000033,GENERAL,PRREAQ,PERSONAL,Wilson Pool,General Fund,Aquatics,Personnel Services,PR,PRRE,PRREAQ,PKPR000033,PKPR,PK,Portland Parks & Recreation,2015-16,241784
FREO000004,GENERAL,PSEO00,PERSONAL,Emergency Mgmt,General Fund,Emergency Operations,Personnel Services,PS,PSEO,PSEO00,FREO000004,FREO,FR,Portland Fire & Rescue,2006-07,241932
NINL000002,GENERAL,CDNLGR,EMS,Graffiti Abatement,General Fund,Graffiti Reduction,External Materials and Services,CD,CDNL,CDNLGR,NINL000002,NINL,NI,Office of Neighborhood Involvement,2006-07,241947
HCPG000001,SPEC_REV,CDEHES,EMS,Housing Access & Retention Team,Special Revenue,Shelter & Emergency Services,External Materials and Services,CD,CDEH,CDEHES,HCPG000001,HCPG,HC,Portland Housing Bureau,2008-09,241956
TRED000007,SPEC_REV,TPCIPR,PERSONAL,Bridges & Structures,Special Revenue,Preservation and Rehabilitation,Personnel Services,TP,TPCI,TPCIPR,TRED000007,TRED,TR,Portland Bureau of Transportation,2008-09,242118
PKPR000040,GENERAL,PRRESG,EMS,Athletics Admin,General Fund,Sports and Games,External Materials and Services,PR,PRRE,PRRESG,PKPR000040,PKPR,PK,Portland Parks & Recreation,2008-09,242210
PLOP000039,GENERAL,PSININ,PERSONAL,North/Detectives,General Fund,Investigations,Personnel Services,PS,PSIN,PSININ,PLOP000039,PLOP,PL,Portland Police Bureau,2007-08,242215
PNDP000003,GENERAL,CDSPUD,PERSONAL,Urban Design Program,General Fund,Urban Design,Personnel Services,CD,CDSP,CDSPUD,PNDP000003,PNDP,PN,Bureau of Planning & Sustainability,2006-07,242282
AUCA000004,GENERAL,LAOB00,PERSONAL,Ombudsman Office,General Fund,Ombudsman Office,Personnel Services,LA,LAOB,LAOB00,AUCA000004,AUCA,AU,Office of the City Auditor,2009-10,242300
PKSB000006,ENTERPRISE,PRSPBS,PERSONAL,Golf Admin,Enterprise,Business Services,Personnel Services,PR,PRSP,PRSPBS,PKSB000006,PKSB,PK,Portland Parks & Recreation,2014-15,242335
