Fund center code,fund code,functional area code,object code,FY 2015-16,FY 2014-15,FY 2013-14,FY 2012-13,FY 2011-12,FY 2010-11,FY 2009-10,FY 2008-09,FY 2007-08,FY 2006-07,fund center name,Fund Name,functional area name,accounting object name,Service Area Code,Program Code,Sub Program Code,Fund Center,Division Code,Bureau Code,Bureau Name
AUCA000003,GENERAL,LAAUAU,IMS,0,-25,0,0,0,0,0,0,0,0,Progress Board,General Fund,Audit Services,Internal Materials and Services,LA,LAAU,LAAUAU,AUCA000003,AUCA,AU,Office of the City Auditor
AUCA000003,GENERAL,LAPB00,PERSONAL,0,0,0,0,2113,2324,0,212145,215797,211021,Progress Board,General Fund,Progress Board,Personnel Services,LA,LAPB,LAPB00,AUCA000003,AUCA,AU,Office of the City Auditor
AUCA000003,GENERAL,LAPB00,EMS,0,0,0,0,0,0,2007,2668,1828,12008,Progress Board,General Fund,Progress Board,External Materials and Services,LA,LAPB,LAPB00,AUCA000003,AUCA,AU,Office of the City Auditor
AUCA000003,GENERAL,LAPB00,IMS,0,25,0,0,840,1067,305,26969,0,69,Progress Board,General Fund,Progress Board,Internal Materials and Services,LA,LAPB,LAPB00,AUCA000003,AUCA,AU,Office of the City Auditor
AUCA000004,GENERAL,LAAUAU,EMS,0,0,0,0,0,0,162,0,0,0,Ombudsman Office,General Fund,Audit Services,External Materials and Services,LA,LAAU,LAAUAU,AUCA000004,AUCA,AU,Office of the City Auditor
AUCA000004,GENERAL,LAIP00,EMS,0,0,0,0,0,0,0,1450,0,0,Ombudsman Office,General Fund,Independent Police Review,External Materials and Services,LA,LAIP,LAIP00,AUCA000004,AUCA,AU,Office of the City Auditor
AUCA000004,GENERAL,LAOB00,PERSONAL,285290,172841,147445,147809,183189,218518,242300,231073,203046,188505,Ombudsman Office,General Fund,Ombudsman Office,Personnel Services,LA,LAOB,LAOB00,AUCA000004,AUCA,AU,Office of the City Auditor
AUCA000004,GENERAL,LAOB00,EMS,14323,10943,9893,16235,19021,9196,2402,2712,7243,5786,Ombudsman Office,General Fund,Ombudsman Office,External Materials and Services,LA,LAOB,LAOB00,AUCA000004,AUCA,AU,Office of the City Auditor
AUCA000004,GENERAL,LAOB00,IMS,23621,22006,21678,33650,36990,35918,42745,42381,0,0,Ombudsman Office,General Fund,Ombudsman Office,Internal Materials and Services,LA,LAOB,LAOB00,AUCA000004,AUCA,AU,Office of the City Auditor
AUCA000005,GENERAL,LACRCC,EMS,0,0,0,0,0,0,0,536,0,0,Hearings Office,General Fund,Council Clerk & Contracts,External Materials and Services,LA,LACR,LACRCC,AUCA000005,AUCA,AU,Office of the City Auditor
AUCA000005,GENERAL,LAHO00,PERSONAL,375885,393240,339562,338196,346205,304136,360461,361760,378713,426345,Hearings Office,General Fund,Hearings Office,Personnel Services,LA,LAHO,LAHO00,AUCA000005,AUCA,AU,Office of the City Auditor
AUCA000005,GENERAL,LAHO00,EMS,18896,19422,14301,16648,21783,17837,18199,16158,17888,22102,Hearings Office,General Fund,Hearings Office,External Materials and Services,LA,LAHO,LAHO00,AUCA000005,AUCA,AU,Office of the City Auditor
AUCA000005,GENERAL,LAHO00,IMS,179429,168378,159251,159312,162547,166038,147814,220310,0,0,Hearings Office,General Fund,Hearings Office,Internal Materials and Services,LA,LAHO,LAHO00,AUCA000005,AUCA,AU,Office of the City Auditor
AUCA000006,GENERAL,LAAS00,PERSONAL,154682,151964,148499,142400,142362,136742,140753,0,0,0,City Auditor,General Fund,Administration & Support,Personnel Services,LA,LAAS,LAAS00,AUCA000006,AUCA,AU,Office of the City Auditor
AUCA000006,GENERAL,LAAS00,EMS,0,0,0,456,6,0,0,89,0,0,City Auditor,General Fund,Administration & Support,External Materials and Services,LA,LAAS,LAAS00,AUCA000006,AUCA,AU,Office of the City Auditor
AUCA000006,GENERAL,LAAS00,IMS,0,0,0,0,0,2,0,0,0,0,City Auditor,General Fund,Administration & Support,Internal Materials and Services,LA,LAAS,LAAS00,AUCA000006,AUCA,AU,Office of the City Auditor
AUDA000001,GENERAL,CDASBS,EMS,0,0,0,0,0,0,276,0,0,0,Management Services,General Fund,Business Services,External Materials and Services,CD,CDAS,CDASBS,AUDA000001,AUDA,AU,Office of the City Auditor
AUDA000001,GENERAL,LAAF00,EMS,0,0,0,-7500,0,0,0,0,0,0,Management Services,General Fund,"Assessments, Finance & Foreclosure",External Materials and Services,LA,LAAF,LAAF00,AUDA000001,AUDA,AU,Office of the City Auditor
AUDA000001,GENERAL,LAAS00,PERSONAL,441413,431397,386036,356576,355232,335093,302682,407465,431081,384467,Management Services,General Fund,Administration & Support,Personnel Services,LA,LAAS,LAAS00,AUDA000001,AUDA,AU,Office of the City Auditor
AUDA000001,GENERAL,LAAS00,EMS,35079,19346,24153,174745,-5285,-10835,5274,208202,17652,109823,Management Services,General Fund,Administration & Support,External Materials and Services,LA,LAAS,LAAS00,AUDA000001,AUDA,AU,Office of the City Auditor
AUDA000001,GENERAL,LAAS00,IMS,35186,65425,99392,87457,68845,106817,118792,-830990,0,47952,Management Services,General Fund,Administration & Support,Internal Materials and Services,LA,LAAS,LAAS00,AUDA000001,AUDA,AU,Office of the City Auditor
AUDA000001,GENERAL,LAAUAU,PERSONAL,0,0,0,0,0,0,0,0,0,494089,Management Services,General Fund,Audit Services,Personnel Services,LA,LAAU,LAAUAU,AUDA000001,AUDA,AU,Office of the City Auditor
AUDA000001,GENERAL,LAAUAU,EMS,0,0,0,0,0,0,0,0,0,4270,Management Services,General Fund,Audit Services,External Materials and Services,LA,LAAU,LAAUAU,AUDA000001,AUDA,AU,Office of the City Auditor
AUDA000001,GENERAL,LAAUAU,IMS,0,0,0,0,0,0,0,946412,1312327,1242133,Management Services,General Fund,Audit Services,Internal Materials and Services,LA,LAAU,LAAUAU,AUDA000001,AUDA,AU,Office of the City Auditor
AUDA000001,GENERAL,LACRCC,EMS,0,0,0,0,0,0,678,1540,0,0,Management Services,General Fund,Council Clerk & Contracts,External Materials and Services,LA,LACR,LACRCC,AUDA000001,AUDA,AU,Office of the City Auditor
AUDA000001,SPEC_REV,LAAUAU,IMS,0,0,0,0,0,0,0,86,58485,16709,Management Services,Special Revenue,Audit Services,Internal Materials and Services,LA,LAAU,LAAUAU,AUDA000001,AUDA,AU,Office of the City Auditor
AUDA000001,SPEC_REV,LAAUAU,FNDXFER,0,0,0,0,0,0,0,138,6674,7326,Management Services,Special Revenue,Audit Services,Fund Transfers - Expense,LA,LAAU,LAAUAU,AUDA000001,AUDA,AU,Office of the City Auditor
AUDA000001,CAPITAL,LAAUAU,IMS,0,0,0,0,0,0,0,0,1310068,1189253,Management Services,Capital Projects,Audit Services,Internal Materials and Services,LA,LAAU,LAAUAU,AUDA000001,AUDA,AU,Office of the City Auditor
AUDA000001,CAPITAL,LAAUAU,FNDXFER,0,0,0,0,0,0,0,0,4053045,23351877,Management Services,Capital Projects,Audit Services,Fund Transfers - Expense,LA,LAAU,LAAUAU,AUDA000001,AUDA,AU,Office of the City Auditor
AUDA000002,GENERAL,LAAS00,EMS,0,0,0,0,0,0,0,113,0,0,Council/Contracts,General Fund,Administration & Support,External Materials and Services,LA,LAAS,LAAS00,AUDA000002,AUDA,AU,Office of the City Auditor
AUDA000002,GENERAL,LACRCC,PERSONAL,670202,621740,613912,550931,660040,632773,607037,516409,490428,456516,Council/Contracts,General Fund,Council Clerk & Contracts,Personnel Services,LA,LACR,LACRCC,AUDA000002,AUDA,AU,Office of the City Auditor
AUDA000002,GENERAL,LACRCC,EMS,58936,52721,39398,33734,30021,31353,37203,40733,31891,32334,Council/Contracts,General Fund,Council Clerk & Contracts,External Materials and Services,LA,LACR,LACRCC,AUDA000002,AUDA,AU,Office of the City Auditor
AUDA000002,GENERAL,LACRCC,IMS,119168,105337,96577,141975,158645,147266,135539,134785,0,0,Council/Contracts,General Fund,Council Clerk & Contracts,Internal Materials and Services,LA,LACR,LACRCC,AUDA000002,AUDA,AU,Office of the City Auditor
AUDA000003,GENERAL,LAAF00,IMS,0,0,0,0,0,0,5055,0,0,0,Archives & Records,General Fund,"Assessments, Finance & Foreclosure",Internal Materials and Services,LA,LAAF,LAAF00,AUDA000003,AUDA,AU,Office of the City Auditor
AUDA000003,GENERAL,LAAS00,IMS,0,25,0,0,0,0,0,0,0,0,Archives & Records,General Fund,Administration & Support,Internal Materials and Services,LA,LAAS,LAAS00,AUDA000003,AUDA,AU,Office of the City Auditor
AUDA000003,GENERAL,LACRRM,PERSONAL,868707,820815,764091,743420,732932,684685,688500,575872,540274,489590,Archives & Records,General Fund,Archives & Records Management,Personnel Services,LA,LACR,LACRRM,AUDA000003,AUDA,AU,Office of the City Auditor
AUDA000003,GENERAL,LACRRM,EMS,149147,131522,102930,129871,154118,132694,199797,125536,30764,26783,Archives & Records,General Fund,Archives & Records Management,External Materials and Services,LA,LACR,LACRRM,AUDA000003,AUDA,AU,Office of the City Auditor
AUDA000003,GENERAL,LACRRM,IMS,1593926,1604012,1570242,1568313,1541934,1458532,1114918,1089022,0,10847,Archives & Records,General Fund,Archives & Records Management,Internal Materials and Services,LA,LACR,LACRRM,AUDA000003,AUDA,AU,Office of the City Auditor
AUDA000004,GENERAL,LAAF00,PERSONAL,362852,340291,337231,318738,318371,298839,313400,294531,287079,277083,Assessments/Finance/Foreclosure,General Fund,"Assessments, Finance & Foreclosure",Personnel Services,LA,LAAF,LAAF00,AUDA000004,AUDA,AU,Office of the City Auditor
AUDA000004,GENERAL,LAAF00,EMS,429998,547167,226307,252609,250318,202870,208346,209910,234128,245632,Assessments/Finance/Foreclosure,General Fund,"Assessments, Finance & Foreclosure",External Materials and Services,LA,LAAF,LAAF00,AUDA000004,AUDA,AU,Office of the City Auditor
AUDA000004,GENERAL,LAAF00,IMS,-792848,-637461,85446,90042,135687,144340,88828,104797,0,0,Assessments/Finance/Foreclosure,General Fund,"Assessments, Finance & Foreclosure",Internal Materials and Services,LA,LAAF,LAAF00,AUDA000004,AUDA,AU,Office of the City Auditor
AUDA000005,GENERAL,LACF00,EMS,0,0,0,0,0,0,0,-108,0,0,Campaign Finance Program,General Fund,Campaign Finance,External Materials and Services,LA,LACF,LACF00,AUDA000005,AUDA,AU,Office of the City Auditor
AUDA000005,GENERAL,LACF00,IMS,0,0,-2,0,0,0,0,0,0,0,Campaign Finance Program,General Fund,Campaign Finance,Internal Materials and Services,LA,LACF,LACF00,AUDA000005,AUDA,AU,Office of the City Auditor
AUDA000005,GENERAL,LAHO00,IMS,0,0,2,0,0,0,0,0,0,0,Campaign Finance Program,General Fund,Hearings Office,Internal Materials and Services,LA,LAHO,LAHO00,AUDA000005,AUDA,AU,Office of the City Auditor
AUDA000005,SPEC_REV,LACF00,PERSONAL,0,0,0,0,0,0,0,33829,0,0,Campaign Finance Program,Special Revenue,Campaign Finance,Personnel Services,LA,LACF,LACF00,AUDA000005,AUDA,AU,Office of the City Auditor
AUDA000005,SPEC_REV,LACF00,EMS,0,0,0,0,0,109,143745,272832,976918,1000,Campaign Finance Program,Special Revenue,Campaign Finance,External Materials and Services,LA,LACF,LACF00,AUDA000005,AUDA,AU,Office of the City Auditor
AUDA000005,SPEC_REV,LACF00,IMS,0,0,0,0,0,20000,60186,59959,0,0,Campaign Finance Program,Special Revenue,Campaign Finance,Internal Materials and Services,LA,LACF,LACF00,AUDA000005,AUDA,AU,Office of the City Auditor
AUDA000005,SPEC_REV,LACF00,FNDXFER,0,0,0,0,0,527123,552753,0,0,0,Campaign Finance Program,Special Revenue,Campaign Finance,Fund Transfers - Expense,LA,LACF,LACF00,AUDA000005,AUDA,AU,Office of the City Auditor
AUDA000005,SPEC_REV,LACF00,ENDBAL,0,0,0,0,0,0,534327,1279841,1297387,1615384,Campaign Finance Program,Special Revenue,Campaign Finance,Unappropriated Fund Balance,LA,LACF,LACF00,AUDA000005,AUDA,AU,Office of the City Auditor
AUDA000006,CAPITAL,CDAI00,EMS,0,0,0,0,0,175,350,969,190049,-750473,LID Construction Program,Capital Projects,Assessments & Improvements,External Materials and Services,CD,CDAI,CDAI00,AUDA000006,AUDA,AU,Office of the City Auditor
AUDA000006,CAPITAL,CDAI00,IMS,0,0,0,0,0,0,0,0,0,899733,LID Construction Program,Capital Projects,Assessments & Improvements,Internal Materials and Services,CD,CDAI,CDAI00,AUDA000006,AUDA,AU,Office of the City Auditor
AUDA000006,CAPITAL,CDAI00,BOND,0,0,0,0,0,1423,11041,105318,1328177,44617447,LID Construction Program,Capital Projects,Assessments & Improvements,Debt Service,CD,CDAI,CDAI00,AUDA000006,AUDA,AU,Office of the City Auditor
AUDA000006,CAPITAL,CDAI00,FNDXFER,473758,0,6566719,955562,8251281,6649722,26524248,1529240,0,0,LID Construction Program,Capital Projects,Assessments & Improvements,Fund Transfers - Expense,CD,CDAI,CDAI00,AUDA000006,AUDA,AU,Office of the City Auditor
AUDA000006,CAPITAL,CDAI00,ENDBAL,0,0,0,0,0,0,0,0,5578650,5570212,LID Construction Program,Capital Projects,Assessments & Improvements,Unappropriated Fund Balance,CD,CDAI,CDAI00,AUDA000006,AUDA,AU,Office of the City Auditor
AUDA000007,SPEC_REV,CDAI00,IMS,0,1536,1531,1508,1532,1321,411,120,0,0,Assessment Collection Fund,Special Revenue,Assessments & Improvements,Internal Materials and Services,CD,CDAI,CDAI00,AUDA000007,AUDA,AU,Office of the City Auditor
AUDA000007,SPEC_REV,CDAI00,FNDXFER,10,0,0,0,41,38,153,210,0,0,Assessment Collection Fund,Special Revenue,Assessments & Improvements,Fund Transfers - Expense,CD,CDAI,CDAI00,AUDA000007,AUDA,AU,Office of the City Auditor
AUDA000007,SPEC_REV,CDAI00,ENDBAL,78789,78074,79059,79247,80060,79013,79842,79338,77711,71561,Assessment Collection Fund,Special Revenue,Assessments & Improvements,Unappropriated Fund Balance,CD,CDAI,CDAI00,AUDA000007,AUDA,AU,Office of the City Auditor
AUDA000008,GENERAL,CDAI00,EMS,0,0,0,0,0,0,0,0,115990,16115,Assessment Program,General Fund,Assessments & Improvements,External Materials and Services,CD,CDAI,CDAI00,AUDA000008,AUDA,AU,Office of the City Auditor
AUDA000008,CAPITAL,CDAI00,EMS,1400,4000,0,0,1900,0,0,3575,4090,3400,Assessment Program,Capital Projects,Assessments & Improvements,External Materials and Services,CD,CDAI,CDAI00,AUDA000008,AUDA,AU,Office of the City Auditor
AUDA000008,CAPITAL,CDAI00,IMS,1663492,1594935,1269312,1312257,1381078,1248097,1236689,1226956,0,0,Assessment Program,Capital Projects,Assessments & Improvements,Internal Materials and Services,CD,CDAI,CDAI00,AUDA000008,AUDA,AU,Office of the City Auditor
AUDA000008,CAPITAL,CDAI00,BOND,74053,67406,61723,56769,51825,47955,44475,0,0,0,Assessment Program,Capital Projects,Assessments & Improvements,Debt Service,CD,CDAI,CDAI00,AUDA000008,AUDA,AU,Office of the City Auditor
AUDA000008,CAPITAL,CDAI00,FNDXFER,70747,13334,59957,57842,10814,62680,163465,120676,0,0,Assessment Program,Capital Projects,Assessments & Improvements,Fund Transfers - Expense,CD,CDAI,CDAI00,AUDA000008,AUDA,AU,Office of the City Auditor
AUDA000008,CAPITAL,CDAI00,ENDBAL,3054201,3326221,6031368,4061896,4202019,4566277,5309031,6358902,0,0,Assessment Program,Capital Projects,Assessments & Improvements,Unappropriated Fund Balance,CD,CDAI,CDAI00,AUDA000008,AUDA,AU,Office of the City Auditor
AUDA000008,CAPITAL,LAAF00,EMS,0,0,2725,2677,1050,958,4276,0,0,0,Assessment Program,Capital Projects,"Assessments, Finance & Foreclosure",External Materials and Services,LA,LAAF,LAAF00,AUDA000008,AUDA,AU,Office of the City Auditor
AUDA000009,DEBT_SVC,CDAS00,BOND,0,0,0,0,0,1500000,0,0,0,0,Debt Activity,Debt Service,Administration & Support,Debt Service,CD,CDAS,CDAS00,AUDA000009,AUDA,AU,Office of the City Auditor
AUDA000009,DEBT_SVC,LADMDM,BOND,8371713,7382952,11667246,7640099,7426352,8410580,7038650,7494208,8165171,2926783,Debt Activity,Debt Service,Debt Management,Debt Service,LA,LADM,LADMDM,AUDA000009,AUDA,AU,Office of the City Auditor
AUDA000009,DEBT_SVC,LADMDM,FNDXFER,0,0,0,0,0,3500000,0,0,0,5000000,Debt Activity,Debt Service,Debt Management,Fund Transfers - Expense,LA,LADM,LADMDM,AUDA000009,AUDA,AU,Office of the City Auditor
AUDA000009,DEBT_SVC,LADMDM,ENDBAL,14792511,13893468,11883223,15189064,14775233,11871718,15019240,13961657,13509053,11424896,Debt Activity,Debt Service,Debt Management,Unappropriated Fund Balance,LA,LADM,LADMDM,AUDA000009,AUDA,AU,Office of the City Auditor
AUDA000009,CAPITAL,LADMDM,EMS,0,0,0,0,0,434474,0,0,0,0,Debt Activity,Capital Projects,Debt Management,External Materials and Services,LA,LADM,LADMDM,AUDA000009,AUDA,AU,Office of the City Auditor
AUDA000009,CAPITAL,LADMDM,BOND,2701682,2869406,10849735,190899,2389150,4887742,25497644,2407384,0,0,Debt Activity,Capital Projects,Debt Management,Debt Service,LA,LADM,LADMDM,AUDA000009,AUDA,AU,Office of the City Auditor
BOBO000001,GENERAL,LAFP00,PERSONAL,0,2212,1342675,451559,0,0,0,0,0,0,City Budget Office,General Fund,Budget & Economics,Personnel Services,LA,LAFP,LAFP00,BOBO000001,BOBO,BO,City Budget Office
BOBO000001,GENERAL,LAFP00,EMS,0,0,3706,9962,0,0,0,0,0,0,City Budget Office,General Fund,Budget & Economics,External Materials and Services,LA,LAFP,LAFP00,BOBO000001,BOBO,BO,City Budget Office
BOBO000001,GENERAL,LAFP00,IMS,0,0,0,57142,0,0,0,0,0,0,City Budget Office,General Fund,Budget & Economics,Internal Materials and Services,LA,LAFP,LAFP00,BOBO000001,BOBO,BO,City Budget Office
BOBO000001,GENERAL,LAFPBE,PERSONAL,1756442,1545539,98278,-1,0,0,0,0,0,0,City Budget Office,General Fund,Budget & Economics,Personnel Services,LA,LAFP,LAFPBE,BOBO000001,BOBO,BO,City Budget Office
BOBO000001,GENERAL,LAFPBE,EMS,215024,175548,164087,9308,0,0,0,0,0,0,City Budget Office,General Fund,Budget & Economics,External Materials and Services,LA,LAFP,LAFPBE,BOBO000001,BOBO,BO,City Budget Office
BOBO000001,GENERAL,LAFPBE,IMS,196400,192625,207967,19986,0,0,0,0,0,0,City Budget Office,General Fund,Budget & Economics,Internal Materials and Services,LA,LAFP,LAFPBE,BOBO000001,BOBO,BO,City Budget Office
CBCF000001,GENERAL,CDCC00,PERSONAL,0,0,0,0,0,0,3058,442187,400720,366263,Cable Regulatory Service,General Fund,Cable Communications,Personnel Services,CD,CDCC,CDCC00,CBCF000001,CBCF,CB,Office for Community Technology
CBCF000001,GENERAL,CDCC00,EMS,0,0,0,0,7000,1,145,23302,169097,5201,Cable Regulatory Service,General Fund,Cable Communications,External Materials and Services,CD,CDCC,CDCC00,CBCF000001,CBCF,CB,Office for Community Technology
CBCF000001,GENERAL,CDCC00,IMS,0,0,0,0,307845,288116,285469,83592,187751,337555,Cable Regulatory Service,General Fund,Cable Communications,Internal Materials and Services,CD,CDCC,CDCC00,CBCF000001,CBCF,CB,Office for Community Technology
CBCF000001,SPEC_REV,CDCC00,PERSONAL,0,0,0,0,451281,431474,411360,-6456,0,0,Cable Regulatory Service,Special Revenue,Cable Communications,Personnel Services,CD,CDCC,CDCC00,CBCF000001,CBCF,CB,Office for Community Technology
CBCF000001,SPEC_REV,CDCC00,EMS,0,0,0,0,30,0,1387,1978,0,0,Cable Regulatory Service,Special Revenue,Cable Communications,External Materials and Services,CD,CDCC,CDCC00,CBCF000001,CBCF,CB,Office for Community Technology
CBCF000001,SPEC_REV,CDCC00,IMS,0,0,0,0,0,0,0,28101,258324,428859,Cable Regulatory Service,Special Revenue,Cable Communications,Internal Materials and Services,CD,CDCC,CDCC00,CBCF000001,CBCF,CB,Office for Community Technology
CBCF000001,SPEC_REV,CDCC00,FNDXFER,0,0,0,0,0,0,18668,14166,15748,14782,Cable Regulatory Service,Special Revenue,Cable Communications,Fund Transfers - Expense,CD,CDCC,CDCC00,CBCF000001,CBCF,CB,Office for Community Technology
CBCF000001,SPEC_REV,CDCC00,ENDBAL,0,0,0,0,7439826,6555453,6295607,5837979,5800106,4443465,Cable Regulatory Service,Special Revenue,Cable Communications,Unappropriated Fund Balance,CD,CDCC,CDCC00,CBCF000001,CBCF,CB,Office for Community Technology
CBCF000002,GENERAL,CDCC00,EMS,0,0,0,0,674355,657014,909696,876015,867292,774765,Portland Community Media,General Fund,Cable Communications,External Materials and Services,CD,CDCC,CDCC00,CBCF000002,CBCF,CB,Office for Community Technology
CBCF000002,GENERAL,CDCC00,IMS,0,0,0,0,0,0,0,694,0,0,Portland Community Media,General Fund,Cable Communications,Internal Materials and Services,CD,CDCC,CDCC00,CBCF000002,CBCF,CB,Office for Community Technology
CBMH000001,GENERAL,CDCC00,EMS,0,0,0,0,0,86,26,325,0,0,Mt. Hood Cable Regulatory Commission,General Fund,Cable Communications,External Materials and Services,CD,CDCC,CDCC00,CBMH000001,CBMH,CB,Office for Community Technology
CBMH000001,SPEC_REV,CDCC00,EMS,0,0,0,0,37477,34086,88556,45326,52763,77522,Mt. Hood Cable Regulatory Commission,Special Revenue,Cable Communications,External Materials and Services,CD,CDCC,CDCC00,CBMH000001,CBMH,CB,Office for Community Technology
CBMH000001,SPEC_REV,CDCC00,IMS,0,0,0,0,99187,77040,63281,223622,0,335,Mt. Hood Cable Regulatory Commission,Special Revenue,Cable Communications,Internal Materials and Services,CD,CDCC,CDCC00,CBMH000001,CBMH,CB,Office for Community Technology
CBMH000001,SPEC_REV,CDCC00,FNDXFER,0,0,0,0,14275,10286,0,503,0,0,Mt. Hood Cable Regulatory Commission,Special Revenue,Cable Communications,Fund Transfers - Expense,CD,CDCC,CDCC00,CBMH000001,CBMH,CB,Office for Community Technology
CBMH000001,SPEC_REV,CDFM00,EMS,0,0,0,0,181,0,0,0,0,0,Mt. Hood Cable Regulatory Commission,Special Revenue,Franchise Management,External Materials and Services,CD,CDFM,CDFM00,CBMH000001,CBMH,CB,Office for Community Technology
CBMH000002,SPEC_REV,CDCC00,EMS,0,0,0,0,564222,351968,412790,737409,1031660,965934,East County Franchises,Special Revenue,Cable Communications,External Materials and Services,CD,CDCC,CDCC00,CBMH000002,CBMH,CB,Office for Community Technology
CBMH000003,SPEC_REV,CDCC00,EMS,0,0,0,0,109759,1021669,835601,1695515,1306901,1391280,Metro East Community Media,Special Revenue,Cable Communications,External Materials and Services,CD,CDCC,CDCC00,CBMH000003,CBMH,CB,Office for Community Technology
